ENTRY NO.,START,END,ON THE CLOCK
146,8/26/2022 9:13,8/26/2022 11:15,2:02
147,8/26/2022 12:16,8/26/2022 13:30,1:14
148,8/27/2022 10:29,8/27/2022 12:13,1:44
149,8/27/2022 12:28,8/27/2022 18:57,6:29
150,8/28/2022 12:17,8/28/2022 13:27,1:10
151,8/29/2022 9:55,8/29/2022 12:05,2:10
152,8/29/2022 12:09,8/29/2022 13:00,0:51
153,8/29/2022 13:27,8/29/2022 14:21,0:54
154,8/29/2022 14:31,8/29/2022 15:23,0:52
155,8/29/2022 15:26,8/29/2022 15:45,0:19
156,8/29/2022 17:41,8/29/2022 18:31,0:50
157,8/30/2022 6:33,8/30/2022 8:14,1:41
158,8/30/2022 8:24,8/30/2022 8:41,0:17
159,8/30/2022 8:50,8/30/2022 10:25,1:35
160,8/30/2022 10:48,8/30/2022 11:46,0:58
161,8/31/2022 6:24,8/31/2022 8:13,1:49
162,8/31/2022 8:57,8/31/2022 9:55,0:58
163,8/31/2022 10:03,8/31/2022 10:33,0:30
164,8/31/2022 11:20,8/31/2022 13:36,2:16
165,9/1/2022 5:58,9/1/2022 8:24,2:26
166,9/1/2022 9:19,9/1/2022 11:15,1:56
167,9/1/2022 12:46,9/1/2022 14:14,1:28
168,9/1/2022 15:49,9/1/2022 17:07,1:18
169,9/1/2022 17:31,9/1/2022 19:14,1:43
170,9/2/2022 6:29,9/2/2022 8:01,1:32
171,9/2/2022 9:18,9/2/2022 11:21,2:03
172,9/2/2022 11:40,9/2/2022 12:29,0:49
173,9/2/2022 13:50,9/2/2022 15:14,1:24
174,9/3/2022 6:58,9/3/2022 9:26,2:28
175,9/3/2022 9:30,9/3/2022 10:22,0:52
176,9/3/2022 10:34,9/3/2022 11:29,0:55
177,9/3/2022 11:39,9/3/2022 12:32,0:53
178,9/3/2022 16:11,9/3/2022 17:05,0:54
179,9/4/2022 7:20,9/4/2022 10:30,3:10
180,9/5/2022 9:48,9/5/2022 10:44,0:56
181,9/5/2022 10:51,9/5/2022 11:20,0:29
182,9/5/2022 11:32,9/5/2022 12:10,0:38
183,9/5/2022 13:37,9/5/2022 13:40,0:03
184,9/5/2022 14:24,9/5/2022 15:19,0:55
185,9/5/2022 15:25,9/5/2022 15:46,0:21
186,9/5/2022 16:27,9/5/2022 17:25,0:58
187,9/5/2022 17:38,9/5/2022 18:45,1:07
188,9/5/2022 18:50,9/5/2022 19:32,0:42
189,9/6/2022 5:40,9/6/2022 7:00,1:20
190,9/6/2022 7:32,9/6/2022 7:59,0:27
191,9/6/2022 8:43,9/6/2022 9:30,0:47
192,9/6/2022 18:38,9/6/2022 19:15,0:37
193,9/7/2022 6:15,9/7/2022 9:46,3:31
194,9/7/2022 11:28,9/7/2022 13:37,2:09
195,9/7/2022 17:40,9/7/2022 19:25,1:45
196,9/8/2022 5:22,9/8/2022 5:47,0:25
197,9/8/2022 6:14,9/8/2022 8:12,1:58
198,9/8/2022 8:57,9/8/2022 9:54,0:57
199,9/8/2022 10:20,9/8/2022 11:44,1:24
200,9/8/2022 17:14,9/8/2022 18:12,0:58
201,9/9/2022 6:47,9/9/2022 9:45,2:58
202,9/9/2022 13:58,9/9/2022 15:55,1:57
203,9/9/2022 19:15,9/9/2022 19:55,0:40
204,9/9/2022 22:00,9/9/2022 22:26,0:26
205,9/10/2022 7:27,9/10/2022 7:55,0:28
206,9/10/2022 12:39,9/10/2022 16:15,3:36
207,9/11/2022 6:42,9/11/2022 12:03,5:21
208,9/11/2022 16:39,9/11/2022 17:49,1:10
209,9/12/2022 4:49,9/12/2022 4:50,0:01
210,9/12/2022 4:57,9/12/2022 7:04,2:07
211,9/12/2022 10:18,9/12/2022 10:34,0:16
212,9/12/2022 11:05,9/12/2022 13:33,2:28
213,9/12/2022 17:27,9/12/2022 19:33,2:06
214,9/13/2022 6:50,9/13/2022 8:27,1:37
215,9/13/2022 8:39,9/13/2022 9:05,0:26
216,9/13/2022 15:37,9/13/2022 17:09,1:32
217,9/13/2022 17:15,9/13/2022 18:15,1:00
218,9/14/2022 6:41,9/14/2022 9:07,2:26
219,9/14/2022 12:34,9/14/2022 13:30,0:56
220,9/14/2022 13:38,9/14/2022 14:38,1:00
221,9/15/2022 6:54,9/15/2022 8:48,1:54
222,9/15/2022 9:13,9/15/2022 11:11,1:58
223,9/15/2022 14:21,9/15/2022 15:23,1:02
224,9/15/2022 16:33,9/15/2022 17:15,0:42
225,9/15/2022 17:37,9/15/2022 18:14,0:37
226,9/16/2022 7:03,9/16/2022 9:49,2:46
227,9/16/2022 14:46,9/16/2022 15:14,0:28
228,9/16/2022 15:31,9/16/2022 15:43,0:12
229,9/16/2022 17:35,9/16/2022 18:10,0:35
230,9/17/2022 12:48,9/17/2022 14:35,1:47
231,9/17/2022 16:38,9/17/2022 17:48,1:10
232,9/18/2022 7:24,9/18/2022 11:46,4:22
233,9/18/2022 16:20,9/18/2022 17:01,0:41
234,9/18/2022 17:15,9/18/2022 17:40,0:25
235,9/18/2022 18:40,9/18/2022 19:01,0:21
236,9/19/2022 6:27,9/19/2022 7:05,0:38
237,9/19/2022 9:57,9/19/2022 11:47,1:50
238,9/19/2022 11:51,9/19/2022 12:30,0:39
239,9/19/2022 14:00,9/19/2022 15:57,1:57
240,9/20/2022 6:47,9/20/2022 8:37,1:50
241,9/20/2022 8:56,9/20/2022 9:16,0:20
242,9/20/2022 14:34,9/20/2022 15:25,0:51
243,9/21/2022 8:12,9/21/2022 8:21,0:09
244,9/21/2022 8:30,9/21/2022 12:41,4:11
245,9/21/2022 14:52,9/21/2022 15:45,0:53
246,9/22/2022 6:49,9/22/2022 8:50,2:01
247,9/22/2022 9:13,9/22/2022 11:20,2:07
248,9/22/2022 11:23,9/22/2022 11:58,0:35
249,9/22/2022 14:58,9/22/2022 17:48,2:50
250,9/22/2022 17:49,9/22/2022 18:37,0:48
251,9/23/2022 6:46,9/23/2022 9:09,2:23
252,9/23/2022 15:01,9/23/2022 15:51,0:50
253,9/24/2022 11:30,9/24/2022 17:11,5:41
254,9/24/2022 17:19,9/24/2022 21:08,3:49
255,9/24/2022 21:09,9/24/2022 21:28,0:19
256,9/25/2022 7:05,9/25/2022 9:15,2:10
257,9/25/2022 9:27,9/25/2022 9:56,0:29
258,9/25/2022 10:05,9/25/2022 11:58,1:53
259,9/25/2022 16:08,9/25/2022 16:49,0:41
260,9/25/2022 18:57,9/25/2022 19:10,0:13
261,9/25/2022 19:38,9/25/2022 20:07,0:29
262,9/26/2022 5:22,9/26/2022 7:00,1:38
263,9/26/2022 7:10,9/26/2022 9:06,1:56
264,9/26/2022 9:09,9/26/2022 10:35,1:26
265,9/26/2022 10:59,9/26/2022 11:40,0:41
266,9/26/2022 13:49,9/26/2022 13:53,0:04
267,9/26/2022 14:07,9/26/2022 14:56,0:49
268,9/26/2022 14:38,9/26/2022 14:38,0:00
269,9/26/2022 17:18,9/26/2022 17:26,0:08
270,9/26/2022 17:34,9/26/2022 18:13,0:39
271,9/27/2022 5:14,9/27/2022 5:34,0:20
272,9/27/2022 5:42,9/27/2022 9:38,3:56
273,9/27/2022 14:03,9/27/2022 15:51,1:48
274,9/28/2022 5:43,9/28/2022 7:20,1:37
275,9/28/2022 7:47,9/28/2022 8:01,0:14
276,9/28/2022 8:25,9/28/2022 8:44,0:19
277,9/28/2022 9:01,9/28/2022 11:40,2:39
278,9/28/2022 14:32,9/28/2022 15:46,1:14
279,9/28/2022 17:41,9/28/2022 18:28,0:47
280,9/29/2022 7:51,9/29/2022 10:13,2:22
281,9/29/2022 10:31,9/29/2022 11:11,0:40
282,9/29/2022 11:59,9/29/2022 13:33,1:34
283,9/29/2022 14:14,9/29/2022 15:22,1:08
284,9/29/2022 16:00,9/29/2022 16:19,0:19
285,9/29/2022 17:02,9/29/2022 18:20,1:18
286,9/30/2022 5:37,9/30/2022 7:01,1:24
287,9/30/2022 7:08,9/30/2022 8:01,0:53
288,9/30/2022 12:51,9/30/2022 14:05,1:14
289,9/30/2022 17:40,9/30/2022 19:46,2:06
290,10/1/2022 12:09,10/1/2022 15:14,3:05
291,10/1/2022 16:02,10/1/2022 18:04,2:02
292,10/2/2022 7:16,10/2/2022 9:56,2:40
293,10/2/2022 13:33,10/2/2022 18:31,4:58
294,10/3/2022 6:17,10/3/2022 7:32,1:15
295,10/3/2022 9:30,10/3/2022 12:27,2:57
296,10/3/2022 12:35,10/3/2022 13:30,0:55
297,10/3/2022 14:00,10/3/2022 14:33,0:33
298,10/3/2022 14:40,10/3/2022 15:38,0:58
299,10/4/2022 7:11,10/4/2022 9:30,2:19
300,10/4/2022 15:07,10/4/2022 16:03,0:56
301,10/5/2022 6:04,10/5/2022 7:19,1:15
302,10/5/2022 7:22,10/5/2022 9:13,1:51
303,10/5/2022 9:49,10/5/2022 11:57,2:08
304,10/5/2022 13:11,10/5/2022 13:57,0:46
305,10/5/2022 14:00,10/5/2022 14:04,0:04
306,10/6/2022 6:54,10/6/2022 9:18,2:24
307,10/6/2022 15:17,10/6/2022 18:48,3:31
308,10/7/2022 6:20,10/7/2022 7:05,0:45
309,10/7/2022 7:44,10/7/2022 10:45,3:01
310,10/7/2022 11:00,10/7/2022 12:26,1:26
311,10/7/2022 12:47,10/7/2022 14:21,1:34
312,10/7/2022 20:27,10/7/2022 22:34,2:07
313,10/7/2022 22:44,10/7/2022 22:59,0:15
314,10/8/2022 8:00,10/8/2022 9:13,1:13
315,10/8/2022 12:03,10/8/2022 15:46,3:43
316,10/8/2022 16:06,10/8/2022 19:21,3:15
317,10/8/2022 19:38,10/8/2022 21:35,1:57
318,10/9/2022 7:36,10/9/2022 9:22,1:46
319,10/9/2022 10:02,10/9/2022 11:58,1:56
320,10/10/2022 8:03,10/10/2022 8:29,0:26
321,10/11/2022 9:41,10/11/2022 10:29,0:48
322,10/11/2022 17:01,10/11/2022 18:41,1:40
323,10/12/2022 8:46,10/12/2022 9:18,0:32
324,10/12/2022 10:54,10/12/2022 12:39,1:45
325,10/12/2022 13:31,10/12/2022 13:57,0:26
326,10/12/2022 14:03,10/12/2022 14:54,0:51
327,10/13/2022 15:11,10/13/2022 17:02,1:51
328,10/14/2022 7:14,10/14/2022 8:26,1:12
329,10/14/2022 8:34,10/14/2022 9:30,0:56
330,10/14/2022 19:00,10/14/2022 20:00,1:00
331,10/15/2022 11:16,10/15/2022 18:30,7:14
332,10/16/2022 7:50,10/16/2022 9:16,1:26
333,10/16/2022 9:21,10/16/2022 10:21,1:00
334,10/17/2022 9:38,10/17/2022 12:52,3:14
335,10/17/2022 13:20,10/17/2022 15:04,1:44
336,10/18/2022 7:03,10/18/2022 10:13,3:10
337,10/18/2022 16:03,10/18/2022 16:24,0:21
338,10/18/2022 18:26,10/18/2022 20:20,1:54
339,10/19/2022 8:13,10/19/2022 10:48,2:35
340,10/19/2022 11:20,10/19/2022 15:59,4:39
341,10/19/2022 16:18,10/19/2022 16:47,0:29
342,10/20/2022 8:00,10/20/2022 11:27,3:27
343,10/20/2022 8:59,10/20/2022 8:59,0:00
344,10/20/2022 11:39,10/20/2022 12:12,0:33
345,10/20/2022 17:42,10/20/2022 20:41,2:59
346,10/21/2022 6:16,10/21/2022 9:51,3:35
347,10/21/2022 10:24,10/21/2022 10:26,0:02
348,10/21/2022 10:29,10/21/2022 10:33,0:04
349,10/21/2022 14:30,10/21/2022 15:45,1:15
350,10/21/2022 19:10,10/21/2022 19:21,0:11
351,10/21/2022 19:37,10/21/2022 21:32,1:55
352,10/22/2022 11:27,10/22/2022 19:16,7:49
353,10/22/2022 19:23,10/22/2022 19:33,0:10
354,10/23/2022 7:04,10/23/2022 9:47,2:43
355,10/23/2022 14:08,10/23/2022 18:53,4:45
356,10/24/2022 6:27,10/24/2022 7:22,0:55
357,10/24/2022 9:40,10/24/2022 10:27,0:47
358,10/24/2022 10:45,10/24/2022 12:30,1:45
359,10/24/2022 12:46,10/24/2022 14:01,1:15
360,10/24/2022 14:00,10/24/2022 14:35,0:35
361,10/25/2022 7:43,10/25/2022 9:23,1:40
362,10/25/2022 15:23,10/25/2022 16:14,0:51
363,10/26/2022 7:08,10/26/2022 10:13,3:05
364,10/26/2022 11:00,10/26/2022 13:52,2:52
365,10/27/2022 9:34,10/27/2022 14:38,5:04
366,10/27/2022 15:47,10/27/2022 17:29,1:42
367,10/27/2022 17:59,10/27/2022 18:30,0:31
368,10/28/2022 13:38,10/28/2022 15:01,1:23
369,10/28/2022 17:11,10/28/2022 19:09,1:58
370,10/28/2022 19:36,10/28/2022 21:36,2:00
371,10/29/2022 11:45,10/29/2022 16:58,5:13
372,10/30/2022 8:19,10/30/2022 9:45,1:26
373,10/30/2022 14:41,10/30/2022 15:30,0:49
374,10/30/2022 17:10,10/30/2022 18:57,1:47
375,10/31/2022 7:51,10/31/2022 12:57,5:06
376,10/31/2022 13:51,10/31/2022 15:54,2:03
377,10/31/2022 17:07,10/31/2022 19:24,2:17
378,11/1/2022 7:08,11/1/2022 8:35,1:27
379,11/1/2022 15:02,11/1/2022 19:32,4:30
380,11/2/2022 9:56,11/2/2022 12:09,2:13
381,11/2/2022 14:04,11/2/2022 15:03,0:59
382,11/3/2022 5:15,11/3/2022 7:31,2:16
383,11/3/2022 7:53,11/3/2022 9:10,1:17
384,11/3/2022 10:05,11/3/2022 13:00,2:55
385,11/3/2022 14:51,11/3/2022 16:17,1:26
386,11/6/2022 9:55,11/6/2022 10:28,0:33
387,11/6/2022 16:59,11/6/2022 19:18,2:19
388,11/7/2022 10:41,11/7/2022 15:09,4:28
389,11/7/2022 15:26,11/7/2022 15:37,0:11
390,11/8/2022 6:58,11/8/2022 9:34,2:36
391,11/9/2022 6:28,11/9/2022 8:46,2:18
392,11/9/2022 8:54,11/9/2022 10:24,1:30
393,11/9/2022 10:35,11/9/2022 10:55,0:20
394,11/9/2022 11:15,11/9/2022 11:53,0:38
395,11/9/2022 12:15,11/9/2022 14:00,1:45
396,11/9/2022 14:39,11/9/2022 15:41,1:02
397,11/10/2022 6:55,11/10/2022 10:12,3:17
398,11/10/2022 10:49,11/10/2022 12:08,1:19
399,11/10/2022 17:59,11/10/2022 18:12,0:13
400,11/11/2022 6:48,11/11/2022 9:45,2:57
401,11/12/2022 9:17,11/12/2022 13:13,3:56
402,11/12/2022 13:39,11/12/2022 17:30,3:51
403,11/13/2022 6:32,11/13/2022 7:45,1:13
404,11/13/2022 8:01,11/13/2022 8:31,0:30
405,11/13/2022 11:46,11/13/2022 12:57,1:11
406,11/13/2022 20:21,11/13/2022 20:45,0:24
407,11/13/2022 21:27,11/14/2022 0:12,2:45
408,11/14/2022 10:48,11/14/2022 12:31,1:43
409,11/14/2022 12:30,11/14/2022 13:38,1:08
410,11/14/2022 17:10,11/14/2022 19:11,2:01
411,11/15/2022 7:03,11/15/2022 9:06,2:03
412,11/15/2022 15:09,11/15/2022 16:25,1:16
413,11/16/2022 5:58,11/16/2022 10:48,4:50
414,11/16/2022 11:43,11/16/2022 13:33,1:50
415,11/17/2022 8:54,11/17/2022 10:05,1:11
416,11/17/2022 10:20,11/17/2022 12:42,2:22
417,11/17/2022 14:36,11/17/2022 19:38,5:02
418,11/18/2022 6:47,11/18/2022 10:14,3:27
419,11/18/2022 15:09,11/18/2022 15:44,0:35
420,11/19/2022 7:35,11/19/2022 9:00,1:25
421,11/19/2022 14:55,11/19/2022 17:55,3:00
422,11/20/2022 8:00,11/20/2022 12:19,4:19
423,11/21/2022 10:37,11/21/2022 16:26,5:49
424,11/21/2022 19:02,11/21/2022 19:40,0:38
425,11/22/2022 7:31,11/22/2022 9:57,2:26
426,11/22/2022 15:20,11/22/2022 17:17,1:57
427,11/22/2022 17:48,11/22/2022 19:57,2:09
428,11/23/2022 7:12,11/23/2022 12:27,5:15
429,11/23/2022 16:46,11/23/2022 18:00,1:14
430,11/24/2022 8:59,11/24/2022 10:03,1:04
431,11/24/2022 19:41,11/24/2022 22:30,2:49
432,11/25/2022 17:36,11/25/2022 21:17,3:41
433,11/26/2022 13:24,11/26/2022 18:21,4:57
434,11/27/2022 8:07,11/27/2022 10:55,2:48
435,11/27/2022 15:56,11/27/2022 18:18,2:22
436,11/28/2022 6:10,11/28/2022 7:17,1:07
437,11/28/2022 9:22,11/28/2022 13:04,3:42
438,11/28/2022 14:29,11/28/2022 15:00,0:31
439,11/29/2022 5:28,11/29/2022 9:43,4:15
440,11/29/2022 15:17,11/29/2022 16:25,1:08
441,11/30/2022 6:14,11/30/2022 14:08,7:54
442,11/30/2022 16:56,11/30/2022 20:13,3:17
443,11/30/2022 21:28,11/30/2022 22:52,1:24
444,12/1/2022 6:45,12/1/2022 11:09,4:24
445,12/1/2022 14:18,12/1/2022 15:52,1:34
446,12/1/2022 20:00,12/1/2022 23:05,3:05
447,12/2/2022 6:27,12/2/2022 9:40,3:13
448,12/2/2022 13:18,12/2/2022 15:14,1:56
449,12/2/2022 18:51,12/2/2022 19:19,0:28
450,12/2/2022 20:19,12/2/2022 23:34,3:15
451,12/3/2022 8:02,12/3/2022 9:50,1:48
452,12/3/2022 12:23,12/3/2022 18:13,5:50
453,12/3/2022 19:28,12/3/2022 22:58,3:30
454,12/4/2022 7:02,12/4/2022 12:28,5:26
455,12/4/2022 15:57,12/4/2022 18:07,2:10
456,12/5/2022 6:10,12/5/2022 7:51,1:41
457,12/5/2022 9:17,12/5/2022 14:04,4:47
458,12/6/2022 5:38,12/6/2022 11:35,5:57
459,12/6/2022 14:35,12/6/2022 16:47,2:12
460,12/6/2022 17:15,12/6/2022 19:04,1:49
461,12/7/2022 6:24,12/7/2022 10:31,4:07
462,12/7/2022 11:07,12/7/2022 12:29,1:22
463,12/7/2022 12:49,12/7/2022 14:34,1:45
464,12/7/2022 19:05,12/7/2022 20:05,1:00
465,12/8/2022 7:01,12/8/2022 11:54,4:53
466,12/8/2022 14:28,12/8/2022 15:05,0:37
467,12/8/2022 16:06,12/8/2022 18:42,2:36
468,12/8/2022 20:24,12/8/2022 21:29,1:05
469,12/9/2022 5:20,12/9/2022 11:21,6:01
470,12/9/2022 12:29,12/9/2022 14:56,2:27
471,12/10/2022 11:00,12/10/2022 16:46,5:46
472,12/10/2022 17:00,12/10/2022 17:27,0:27
473,12/10/2022 17:32,12/10/2022 19:24,1:52
474,12/10/2022 21:26,12/10/2022 22:31,1:05
475,12/11/2022 6:52,12/11/2022 11:38,4:46
476,12/11/2022 13:47,12/11/2022 13:56,0:09
477,12/11/2022 17:03,12/11/2022 20:04,3:01
478,12/12/2022 7:53,12/12/2022 8:03,0:10
479,12/12/2022 8:14,12/12/2022 8:31,0:17
480,12/12/2022 9:42,12/12/2022 10:35,0:53
481,12/12/2022 11:18,12/12/2022 12:12,0:54
482,12/12/2022 13:49,12/12/2022 15:02,1:13
483,12/12/2022 15:21,12/12/2022 15:39,0:18
484,12/12/2022 18:46,12/12/2022 19:30,0:44
485,12/13/2022 7:35,12/13/2022 8:05,0:30
486,12/13/2022 8:14,12/13/2022 9:08,0:54
487,12/13/2022 9:21,12/13/2022 9:26,0:05
488,12/13/2022 10:10,12/13/2022 10:47,0:37
489,12/13/2022 12:46,12/13/2022 12:58,0:12
490,12/13/2022 15:01,12/13/2022 16:11,1:10
491,12/13/2022 17:38,12/13/2022 18:53,1:15
492,12/14/2022 8:09,12/14/2022 10:21,2:12
493,12/14/2022 11:21,12/14/2022 12:53,1:32
494,12/15/2022 6:47,12/15/2022 9:33,2:46
495,12/15/2022 10:11,12/15/2022 10:55,0:44
496,12/15/2022 11:30,12/15/2022 11:44,0:14
497,12/15/2022 15:01,12/15/2022 15:33,0:32
498,12/15/2022 15:34,12/15/2022 16:31,0:57
